cat_id,year,month,total_units,total_revenue
FOODS,2011,1,63110,129451.31
FOODS,2011,2,520250,1162353.63
FOODS,2011,3,534914,1212103.12
FOODS,2011,4,509568,1167042.9
FOODS,2011,5,491753,1145090.66
FOODS,2011,6,525861,1223478.55
FOODS,2011,7,574495,1344335.22
FOODS,2011,8,580152,1360456.04
FOODS,2011,9,574927,1335139.19
FOODS,2011,10,642127,1459533.51
FOODS,2011,11,591297,1330053.32
FOODS,2011,12,650410,1481030.96
FOODS,2012,1,653360,1490366.63
FOODS,2012,2,647943,1514046.36
FOODS,2012,3,713326,1663149.13
FOODS,2012,4,690974,1592985.66
FOODS,2012,5,750398,1705334.07
FOODS,2012,6,790613,1779703.83
FOODS,2012,7,779599,1776152.23
FOODS,2012,8,789020,1777637.26
FOODS,2012,9,735178,1697145.97
FOODS,2012,10,698890,1585103.63
FOODS,2012,11,675351,1546034.85
FOODS,2012,12,735616,1696087.18
FOODS,2013,1,716285,1680554.9
FOODS,2013,2,685611,1610971.91
FOODS,2013,3,759324,1785620.51
FOODS,2013,4,681137,1598576.11
FOODS,2013,5,718366,1677284.42
FOODS,2013,6,772864,1763696.53
FOODS,2013,7,800588,1811687.03
FOODS,2013,8,835727,1835799.57
FOODS,2013,9,815622,1799867.99
FOODS,2013,10,764008,1816142.07
FOODS,2013,11,709657,1666111.14
FOODS,2013,12,732293,1715287.91
FOODS,2014,1,737475,1718380.73
FOODS,2014,2,681348,1645789.41
FOODS,2014,3,765733,1868472.92
FOODS,2014,4,769819,1857419.25
FOODS,2014,5,755795,1867206.19
FOODS,2014,6,773507,1832553.83
FOODS,2014,7,801572,1877705.48
FOODS,2014,8,813061,1914315.66
FOODS,2014,9,750486,1844060.01
FOODS,2014,10,745506,1957920.31
FOODS,2014,11,714904,1874306.01
FOODS,2014,12,686319,1846462.19
FOODS,2015,1,736030,1914070.79
FOODS,2015,2,671961,1764355.7
FOODS,2015,3,724905,1911821.44
FOODS,2015,4,710301,1875166.12
FOODS,2015,5,741404,1949625.84
FOODS,2015,6,763726,1882872.88
FOODS,2015,7,809505,2008899.0
FOODS,2015,8,811161,2032412.42
FOODS,2015,9,780594,1973379.0
FOODS,2015,10,819910,2162592.2
FOODS,2015,11,719316,1936472.86
FOODS,2015,12,725042,1983878.66
FOODS,2016,1,807440,2170192.11
FOODS,2016,2,804739,2143144.31
FOODS,2016,3,855454,2257987.9
FOODS,2016,4,702312,1897743.52
HOBBIES,2011,1,9803,25061.82
HOBBIES,2011,2,77362,211030.97
HOBBIES,2011,3,83691,233051.73
HOBBIES,2011,4,86199,250924.28
HOBBIES,2011,5,87413,259676.41
HOBBIES,2011,6,84520,250015.52
HOBBIES,2011,7,89771,261915.2
HOBBIES,2011,8,84978,239493.58
HOBBIES,2011,9,79357,226518.94
HOBBIES,2011,10,88337,240610.22
HOBBIES,2011,11,80324,212758.06
HOBBIES,2011,12,87396,241352.96
HOBBIES,2012,1,82887,235563.45
HOBBIES,2012,2,82218,243364.38
HOBBIES,2012,3,88506,271302.82
HOBBIES,2012,4,84499,263428.12
HOBBIES,2012,5,77886,272392.52
HOBBIES,2012,6,91066,290404.75
HOBBIES,2012,7,84040,315898.98
HOBBIES,2012,8,74551,311299.73
HOBBIES,2012,9,74354,307776.82
HOBBIES,2012,10,75149,313357.19
HOBBIES,2012,11,70352,304227.32
HOBBIES,2012,12,74329,339129.21
HOBBIES,2013,1,79596,336936.38
HOBBIES,2013,2,91424,347001.49
HOBBIES,2013,3,96534,381533.44
HOBBIES,2013,4,102498,358845.14
HOBBIES,2013,5,104388,366638.66
HOBBIES,2013,6,110238,381149.94
HOBBIES,2013,7,103143,379539.96
HOBBIES,2013,8,103569,388734.36
HOBBIES,2013,9,94650,357744.8
HOBBIES,2013,10,110707,375497.94
HOBBIES,2013,11,104877,356368.86
HOBBIES,2013,12,106435,365211.52
HOBBIES,2014,1,102807,367640.69
HOBBIES,2014,2,91984,324772.45
HOBBIES,2014,3,100565,361048.6
HOBBIES,2014,4,94810,349709.3
HOBBIES,2014,5,99818,361926.45
HOBBIES,2014,6,99015,370328.61
HOBBIES,2014,7,98066,371251.42
HOBBIES,2014,8,98635,382186.6
HOBBIES,2014,9,91092,368615.24
HOBBIES,2014,10,105247,397704.66
HOBBIES,2014,11,99696,388978.43
HOBBIES,2014,12,102111,405601.84
HOBBIES,2015,1,103145,431974.89
HOBBIES,2015,2,103219,438011.18
HOBBIES,2015,3,113401,504757.54
HOBBIES,2015,4,111371,486705.41
HOBBIES,2015,5,119993,517257.89
HOBBIES,2015,6,111843,480275.17
HOBBIES,2015,7,118943,500384.79
HOBBIES,2015,8,121303,510363.43
HOBBIES,2015,9,114534,476975.81
HOBBIES,2015,10,128230,520720.73
HOBBIES,2015,11,119644,502428.88
HOBBIES,2015,12,124529,526909.37
HOBBIES,2016,1,117553,515426.35
HOBBIES,2016,2,112939,505127.06
HOBBIES,2016,3,116241,516780.48
HOBBIES,2016,4,97019,418784.56
HOUSEHOLD,2011,1,15250,63814.96
HOUSEHOLD,2011,2,128763,552493.1
HOUSEHOLD,2011,3,144962,607745.62
HOUSEHOLD,2011,4,141946,609446.74
HOUSEHOLD,2011,5,140396,598220.97
HOUSEHOLD,2011,6,142999,598223.95
HOUSEHOLD,2011,7,155554,645604.34
HOUSEHOLD,2011,8,160564,641892.97
HOUSEHOLD,2011,9,159399,648997.4
HOUSEHOLD,2011,10,167779,683294.21
HOUSEHOLD,2011,11,151466,620906.62
HOUSEHOLD,2011,12,149492,618217.1
HOUSEHOLD,2012,1,157128,648716.54
HOUSEHOLD,2012,2,167829,714072.29
HOUSEHOLD,2012,3,185062,752435.4
HOUSEHOLD,2012,4,169385,696927.53
HOUSEHOLD,2012,5,169462,700728.8
HOUSEHOLD,2012,6,213930,787226.84
HOUSEHOLD,2012,7,217138,795526.57
HOUSEHOLD,2012,8,239209,874272.23
HOUSEHOLD,2012,9,254832,900964.11
HOUSEHOLD,2012,10,232269,850403.46
HOUSEHOLD,2012,11,214981,811617.42
HOUSEHOLD,2012,12,220507,824417.56
HOUSEHOLD,2013,1,212679,786706.74
HOUSEHOLD,2013,2,233625,839605.05
HOUSEHOLD,2013,3,261712,933231.13
HOUSEHOLD,2013,4,250401,873105.91
HOUSEHOLD,2013,5,251929,908135.18
HOUSEHOLD,2013,6,252491,910010.7
HOUSEHOLD,2013,7,255736,928631.63
HOUSEHOLD,2013,8,265517,985108.3
HOUSEHOLD,2013,9,256243,940544.32
HOUSEHOLD,2013,10,249808,936583.8
HOUSEHOLD,2013,11,230265,879881.12
HOUSEHOLD,2013,12,215806,845026.85
HOUSEHOLD,2014,1,216730,840999.26
HOUSEHOLD,2014,2,236428,883442.34
HOUSEHOLD,2014,3,257408,993063.96
HOUSEHOLD,2014,4,239658,914290.75
HOUSEHOLD,2014,5,237479,931812.98
HOUSEHOLD,2014,6,237509,936943.22
HOUSEHOLD,2014,7,252126,980367.58
HOUSEHOLD,2014,8,272406,1029097.66
HOUSEHOLD,2014,9,246836,960600.36
HOUSEHOLD,2014,10,252325,996636.36
HOUSEHOLD,2014,11,236478,943659.5
HOUSEHOLD,2014,12,225022,896642.94
HOUSEHOLD,2015,1,243940,942625.24
HOUSEHOLD,2015,2,256697,960503.32
HOUSEHOLD,2015,3,281421,1098316.26
HOUSEHOLD,2015,4,271757,1053902.07
HOUSEHOLD,2015,5,291617,1133459.04
HOUSEHOLD,2015,6,280030,1080694.36
HOUSEHOLD,2015,7,303699,1161669.69
HOUSEHOLD,2015,8,321877,1233179.66
HOUSEHOLD,2015,9,293785,1118523.56
HOUSEHOLD,2015,10,300297,1157154.85
HOUSEHOLD,2015,11,275016,1088997.17
HOUSEHOLD,2015,12,276665,1095119.39
HOUSEHOLD,2016,1,290293,1131872.08
HOUSEHOLD,2016,2,295249,1173626.67
HOUSEHOLD,2016,3,304051,1201569.46
HOUSEHOLD,2016,4,247357,1002035.49
